User_ID,Assigned_Edge_Node,Old_Resource_Allocation,New_Resource_Allocation,Allocated_Bandwidth,New_Allocated_Bandwidth
1,5002,74.74790787039693,74.98873048028798,13600.441227486885,13158.303186598578
2,5003,75.18760322583704,74.92104597517239,12501.582481117062,14850.462203489697
3,5001,75.60347160260949,74.5582023793704,14798.807235387578,12296.76656404591
4,5001,73.48882044231163,74.94708188441344,13899.29982096231,12758.90781180799
5,5003,74.57749207083761,74.86984319811812,15499.019392114782,12655.385369252312
6,5003,75.00328884293411,75.21303507125495,12800.712421270877,13068.85149729691
7,5003,79.89893238819076,75.16938861684967,12500.79305331946,13601.621249262302
8,5001,79.91312439372237,76.21314815077281,12600.249217658566,15462.123815864104
9,5001,75.35543847234935,75.07351545167316,13699.694146978833,12891.916522615584
10,5001,74.66366374086344,75.32632538655042,14001.291963383388,13099.86919139052
11,5003,74.31043476795182,74.78812592274149,12801.41339801792,14960.261762814825
12,5003,75.65661947026042,65.89370916298803,14901.152204770377,10480.304748235165
13,5001,74.17587654658288,75.11076858670687,13099.564296080973,13693.932781916998
14,5003,72.14031203337744,74.76917044501323,12800.012758316709,14047.15198156048
15,5003,69.57296861409519,75.14931687736646,12298.122259116051,13861.59876862287
16,5003,74.40164006657787,75.30461567500265,12398.602925975332,13608.142636814218
17,5003,70.776907591123,70.92089265612832,12002.088514687595,15425.752657126644
18,5002,74.23923969140431,75.12110891150633,15001.061351438688,12633.814929713299
19,5002,74.30717365799418,66.82940398764342,15401.141507737437,11519.762728977668
20,5003,75.49355766095142,66.069822514064,14000.78823794354,11329.008987771545
21,5001,75.6302964765895,74.97495719916085,12800.792422617307,14419.501334484876
22,5003,73.76761388519672,74.92915399486878,12801.018137609564,13068.85149729691
23,5003,74.71856987878833,65.96204600699546,14500.045955224105,10894.878520198215
24,5002,68.518740798524,70.39646702250903,12198.83272155029,14473.17161112844
25,5002,68.57807545090155,76.63270934003636,12101.45073354352,13519.09857122712
26,5001,68.3063249591578,75.33310557000911,13999.252094212688,13408.006432458978
27,5003,74.1873752388937,74.9095974171863,14799.591007661962,12610.0585423016
28,5002,75.7471525922097,74.9844903644424,13101.63995406622,13057.156718326869
29,5001,69.3653475003834,71.01257227038364,12001.738448814238,15096.296880902388
30,5003,74.11057926588836,75.16237813952984,12500.877152812189,13615.999473789869
31,5001,75.39042060804489,74.97495719916085,12701.402166620375,14424.0503091446
32,5003,73.72037681773541,74.84085158064327,15800.521849490317,13354.05859523407
33,5003,80.34650175047598,75.16938861684967,12499.353643414475,13600.671068778825
34,5003,74.69899487161585,65.92140932385801,14300.413678808343,11409.387007782001
35,5003,75.44295626086394,65.89588327300173,14200.49852362362,11873.24182050315
36,5001,76.22217055687808,74.93391570942549,14200.101344790142,13412.278579144637
37,5003,69.77581016742748,70.92449730493237,14000.95626185738,16368.87231738339
38,5003,73.7359166568565,74.78997297791852,12699.82829095156,13068.85149729691
39,5001,75.28740364503842,74.71597040015018,14000.249817315922,13536.998195050643
40,5002,75.91011056390681,74.81121874712184,12800.906889467566,14604.598108156273
41,5003,73.29611459247998,74.58187792423547,12500.499618043865,13068.85149729691
42,5002,74.63205543144876,77.27902948959466,12200.02824124848,14534.836401405026
43,5003,70.52469426247329,77.3732518564796,14998.970426505764,13950.492866422092
44,5001,74.37662776247366,74.95616638809547,12799.559261537352,14517.026485733446
45,5003,76.3351503366259,76.95229178680091,12499.877469907306,14962.407344644267
46,5001,75.81967992007623,74.98254772353417,14699.950211315689,12398.442941511405
47,5003,75.83259361302433,74.91226496619495,13699.6583849641,12259.177959443461
48,5002,73.50887114118174,74.84869280119055,14199.872341778046,12751.97441081174
49,5002,74.23625310715366,66.155320605426,15199.62429259022,10656.52451270104
50,5003,74.30620065318318,75.29107786134453,12799.393010464424,13924.552017664208
51,5003,75.8994054623759,75.12947136969832,13199.854799813438,13166.542782680704
52,5001,59.071373486982864,77.29647471076629,12000.693253704312,13068.85149729691
53,5003,74.1965473991848,69.9251679409548,12500.859645951765,14930.523723235685
54,5001,74.92993297494733,74.94601297088964,13900.546177426368,12533.489886047963
55,5001,74.42991035029999,65.94452107154287,14200.626192607282,11242.958209379849
56,5001,76.00320955981807,75.02675749089308,12498.756004865778,14855.687368282182
57,5003,76.07454277934055,75.05300406038492,12500.048944630113,13068.85149729691
58,5003,72.22541663922911,75.27163195016348,12701.185744434471,13599.30944758096
59,5003,74.00723055384576,74.86984319811812,14999.124314083076,12606.619264944702
60,5002,75.34608346855565,66.21013669671407,15399.49092740154,10629.544358477287
61,5002,70.50583979189527,74.7137427289819,12300.427164019964,14209.018300639895
62,5003,73.61966777021655,74.99983676090719,13701.01090873966,13280.442630872029
63,5001,76.09676472435436,70.98208683184585,14500.425899167534,12195.763346768144
64,5002,74.12522620289275,74.81778898880465,14599.776916733215,12730.04263223015
65,5003,75.31546615022009,74.92529752747855,13099.867698049544,14983.203873589566
66,5002,69.31934593464581,70.54474714792367,12099.221306747277,15130.049096258079
67,5003,76.85571440429835,75.070456462646,14401.140495938094,12940.249776472041
68,5001,74.05277444396177,75.23269999416867,13000.68424681618,13650.286848611624
69,5003,68.80555403558347,75.33310557000911,14001.258073606676,13360.982173235505
70,5003,74.81620056847969,70.87308278775346,15599.962791734184,12183.004211042447
71,5001,75.21653195567532,75.29363140597627,12999.06572140501,13360.469673552887
72,5003,74.87949335598445,75.22876853949583,12800.478706054815,14270.901531328072
73,5003,75.81531389307308,74.73970703019062,12500.423867593292,14023.364515792637
74,5001,74.45050266763661,75.11076858670687,12802.645353445394,13536.384448650759
75,5001,73.75985536409007,75.2324681811093,12999.302654194207,13176.833876904477
76,5001,74.79654639597938,74.84635666670962,13400.14105656657,13068.85149729691
77,5001,75.8262447959356,74.86858967521165,12400.06540955928,13068.85149729691
78,5003,73.54530612889603,75.23838178002057,12700.21456398453,13068.85149729691
79,5002,70.26153957389633,69.91468341573965,12301.61697880551,14714.836129371435
80,5003,75.79059361289708,74.35953199328071,12800.065469490755,13068.85149729691
81,5001,74.52584758968709,74.83402532126418,13099.102906002492,14164.735899351266
82,5001,75.38547989325079,74.8746835859661,12499.63880581475,14315.668106202827
83,5002,74.2107609846783,75.11800145130768,12599.441073729256,15553.423016253795
84,5003,75.15806514403795,75.13792283937104,13199.186118132417,13444.631566317677
85,5002,81.69432832343125,72.47261707270447,12501.953588679651,15686.52628773505
86,5002,76.35870723028704,66.20104463390699,13899.316474321204,11534.912258552014
87,5001,73.72383483903475,66.33653536986895,14798.930584375494,11954.362055347165
88,5001,74.06701556443544,74.74629945465749,12802.24095356976,14023.419190243789
89,5001,76.29682082789334,77.00991645376023,12199.929868870662,14801.899933913572
90,5002,75.20232289958003,75.14190369545348,13500.69777110736,13020.235939841134
91,5003,74.71378376650445,75.070456462646,14601.34251187974,12732.116788216908
92,5001,73.76549566648444,74.98764997955602,12298.791553138566,13068.85149729691
93,5001,68.97531541421733,75.22068574684702,12200.121357181502,13068.85149729691
94,5002,75.12914587157798,66.03114350231914,15499.814017532715,10996.073958299783
95,5001,73.91736882879584,71.02816798427844,14400.935707904062,12149.186053372618
96,5002,73.8043756594064,74.87578364725505,14100.578195627051,12819.530491428739
97,5002,75.79913027645128,75.0431657111905,13200.207067055531,13340.279113382592
98,5002,75.90247952284659,75.03381186302416,13300.03269966994,14575.113337965244
99,5003,73.37683941334024,75.24494432855431,12400.110991811696,14336.35537947707
100,5003,75.60888426883376,75.070456462646,14498.177250806224,12713.900371574946
101,5003,74.94585872424034,76.13919112485566,12201.062353829238,14154.276428474539
102,5001,74.25205150050886,74.77032787342286,12498.23959935587,15671.525942997547
103,5002,73.49953475823061,66.08971816982722,14800.091234465735,10473.538047575603
104,5002,75.9217877103278,74.98884847379522,13099.343750657996,13963.40776141877
105,5001,75.52553754213227,74.959221324666,12700.20500967375,14459.080088243682
106,5003,69.30048672662721,77.73544216228947,14999.311583866927,15120.8559023315
107,5002,75.94370965388403,70.8950312766976,13999.40958268431,12185.276112309388
108,5001,71.64803402067118,76.50376677864219,12301.656743906768,13068.85149729691
109,5003,73.44269892918336,74.75313081273131,12499.700638716771,14254.26664456675
110,5003,76.43271214167653,75.05300406038492,12800.346051864586,13068.85149729691
111,5003,69.61387526775616,69.85695191517681,14998.891473943817,16859.454087299968
112,5003,78.44199367038583,77.47501213600404,12600.01284874903,13095.080475535517
113,5001,75.07085222571502,75.0733779249636,12599.467447878018,15265.848747106318
114,5001,74.80151517946366,66.34160831090607,14499.72619828623,12097.530968477931
115,5001,75.39116235093621,74.86726613467971,13799.919059612232,12441.791202484788
116,5001,75.28299386824612,74.89233132830002,13097.724345617604,14273.954530965124
117,5001,71.03666837882416,76.63270934003636,12101.192848592753,13555.608697825102
118,5003,72.99221592758123,77.3732518564796,12198.685760486089,13901.135937536068
119,5001,73.97897763913362,74.88072067310894,14198.262078911106,12685.12254816477
120,5001,74.09897239659342,75.14124170616324,12499.992241545668,15268.402262463922
121,5001,73.25736771726321,74.88623854773805,15299.52935248542,12854.632248721427
122,5001,74.95689494921405,70.04493923866598,12198.977797237398,15034.658586071306
123,5003,75.69805755927318,75.07641404120726,12698.448579130478,15083.894665086584
124,5003,75.33744298615882,74.34956922119156,12802.18675816692,13068.85149729691
125,5003,76.51186997766416,74.8146837730136,12999.25273807362,14081.060910630606
126,5002,76.20373125813293,74.9389819540632,12299.734713821035,14568.64657160833
127,5001,75.7625350812746,74.86398828046451,15699.653417034098,13449.36202998051
128,5001,75.58935885247334,75.00314754905594,13399.718138176211,14205.656020031785
129,5003,75.06850118373842,74.8146837730136,12900.164348747005,14084.593067164355
130,5002,70.09819412214817,70.74433700230392,12000.176694809152,14426.52594813691
