Cluster_Count,Latency,Signal_Strength,Distance,Resource_Allocation,Allocated_Bandwidth
1,37.53555186550779,-81.55935852479479,1031.5186855321472,74.4035132904661,42216506.273658216
2,32.32138742930223,-78.06048466758078,867.9915658351432,72.53087079609857,40513090.63927875
4,27.35105368910625,-74.27691935459069,695.0067739814062,72.3704700918873,41282704.77429927
6,24.67752957387138,-71.92735331359678,606.6524742541642,72.16443062228491,39968927.17346228
8,21.59609857164398,-69.00246319357984,516.4653025188503,71.97525011786482,39286460.37058206
10,19.62591398229304,-67.03525057177313,458.8771029509497,71.88187641645493,38928012.99549299
12,18.615974111273506,-66.2934361172018,429.624006514157,72.0868899946154,38908994.154313736
14,17.341498971485894,-64.80531793314857,397.863758792128,72.03495464410452,38565702.6044804
16,15.812282667321437,-62.1025942496103,345.97243697340923,72.29272016922155,38677371.5469439
18,15.326214214374811,-61.665404168400215,332.67234244505164,72.46646987291943,38675091.72176066
20,14.955947802501065,-60.97214868370414,319.104852840897,72.3419157192492,38541204.956206635
