User_ID,Application_Type,Signal_Strength,Latency,Required_Bandwidth,Allocated_Bandwidth,Resource_Allocation,Distance_meters,x_coordinate,y_coordinate,Cluster,Assigned_Edge_Node,New_Distance,Updated_Signal_Strength,Updated_Latency,Network_Slice
1,6,-58.890390158421816,30.66912984810591,12302.430771187008,13600.441227486885,74.74790787039693,581.3908880241864,-7.350987135950774,12.68999229561257,15,5016.0,148.20177417697,-41.27666292953764,11.002473738830522,URLLC
2,6,-68.32986995777937,24.09076759514376,10999.40836334207,12501.582481117062,75.18760322583704,504.73100041689855,12.387670747581367,0.21236309244754636,0,5001.0,279.5620487724735,-58.60023197664086,15.467293054134624,URLLC
3,6,-48.66478852947169,42.79512348941241,13499.641171053,14798.807235387578,75.60347160260949,771.7161896394208,-0.19711969966358822,-13.298159752458886,6,5007.0,240.75993842493378,-35.9490782781558,17.864433265608977,URLLC
4,6,-55.35515248910722,35.15139100948717,12601.857331007232,13899.29982096231,73.48882044231163,650.5586326338912,-10.001640665973241,-4.727598156780616,5,5006.0,266.39428191916073,-43.887419879372175,17.99373650096285,URLLC
5,6,-41.00356017308664,49.14314684528391,14199.128120816744,15499.019392114782,74.57749207083761,873.779439125385,12.51573761635106,19.60039942312376,10,5011.0,197.1141556358111,-27.840929112585542,16.08607011761727,URLLC
6,6,-67.10593044205743,24.05914424321904,11199.636689121518,12800.712421270877,75.00328884293411,497.7453330978379,7.8770446782657615,12.71476810464523,10,5011.0,200.31263152773553,-52.96429534480596,12.156429355843365,URLLC
7,6,-80.05230815085186,29.368428370207784,10999.993805091512,12500.79305331946,79.89893238819076,693.7311646566679,16.095882470893883,9.059878676303597,0,5001.0,197.83205536014663,-57.76985501616328,11.46066451868068,URLLC
8,6,-69.43846770655111,26.197660091042497,10201.33484857424,12600.249217658566,79.91312439372237,547.8920214939552,9.83083904572338,-5.396594292573624,1,5002.0,293.3900191673193,-59.03033150364022,16.399298555357525,URLLC
9,6,-57.730387593553296,31.522268582721782,12400.100738188752,13699.694146978833,75.35543847234935,593.0378639840966,-8.844908658217747,-4.154365529122359,5,5006.0,277.8130869391931,-47.40004406410908,17.849258247819435,URLLC
10,6,-55.10061434630711,36.13934297882528,12700.49444039812,14001.291963383388,74.66366374086344,667.2597796103975,-2.117111447497564,-10.5971716354547,5,5006.0,259.6654192600683,-43.110933307996284,17.80613367670433,URLLC
11,6,-66.57751323323141,25.221254122851,11498.68922686662,12801.41339801792,74.31043476795182,515.4613503869789,13.062142192391534,5.067952751880114,0,5001.0,61.93748402007322,-38.37642430998402,5.147362656378135,URLLC
